	EF1	EF2	EH1	EH2
Cluster-465.0	0	5	7	5
Cluster-466.0	0	2	5	5
Cluster-467.0	6	10	16	17
Cluster-468.0	0	3	5	3
Cluster-469.0	2	3	11	2
Cluster-470.0	0	2	8	2
Cluster-471.0	0	1	7	3
Cluster-472.0	0	1	6	4
Cluster-473.0	0	1	11	6
Cluster-474.0	0	1	1	12
Cluster-475.0	0	4	5	3
Cluster-476.0	0	3	8	10
Cluster-477.0	0	1	8	3
Cluster-478.0	0	1	11	20
Cluster-479.0	0	2	6	3
Cluster-480.0	0	2	7	2
Cluster-481.0	0	2	11	7
Cluster-482.0	15	12	37	33
Cluster-483.0	0	2	6	6
Cluster-484.0	2	2	15	19
Cluster-485.0	0	2	7	8
Cluster-486.0	0	2	10	6
Cluster-487.0	0	3	4	6
Cluster-488.0	0	1	10	2
Cluster-489.0	13	6	32	27
Cluster-489.1	262	195	429	331
Cluster-490.0	0	1	4	6
Cluster-491.0	0	1	4	6
Cluster-492.0	0	2	4	5
Cluster-493.0	0	4	12	5
Cluster-494.0	0	1	7	12
Cluster-495.0	0	6	6	9
Cluster-496.0	0	2	4	5
Cluster-497.0	0	1	3	7
Cluster-498.0	0	2	9	9
Cluster-499.0	0	3	6	4
Cluster-500.0	0	2	6	3
Cluster-501.0	0	3	5	3
Cluster-502.0	0	2	2	7
Cluster-503.0	0	2	7	4
Cluster-504.0	0	3	5	3
Cluster-505.0	0	2	6	4
Cluster-506.0	0	1	6	4
Cluster-507.0	0	1	5	8
Cluster-508.0	0	2	19	15
Cluster-509.0	0	4	3	4
Cluster-510.0	0	1	8	3
Cluster-511.0	0	2	10	6
Cluster-512.0	0	3	4	6
Cluster-513.0	0	1	4	6
Cluster-514.0	0	2	5	5
Cluster-515.0	0	2	4	5
Cluster-516.0	0	3	5	4
Cluster-517.0	0	1	15	10
Cluster-518.0	0	2	3	6
Cluster-519.0	0	2	8	1
Cluster-520.0	0	3	3	10
Cluster-521.0	1	4	18	12
Cluster-522.0	0	1	13	2
Cluster-523.0	0	2	6	3
Cluster-524.0	0	2	4	5
Cluster-525.0	0	2	12	5
Cluster-526.0	0	4	13	19
Cluster-527.0	0	2	8	4
Cluster-528.0	14	28	57	38
Cluster-529.0	0	2	5	4
Cluster-530.0	0	2	4	6
Cluster-531.0	0	2	7	7
Cluster-532.0	0	2	5	5
Cluster-533.0	0	2	3	6
Cluster-534.0	0	3	11	7
Cluster-535.0	0	2	11	6
Cluster-536.0	0	3	4	4
Cluster-537.0	0	1	6	5
Cluster-538.0	0	1	4	6
Cluster-539.0	0	3	6	2
Cluster-540.0	0	1	5	6
Cluster-541.0	0	2	7	2
Cluster-542.0	9	17	29	19
Cluster-543.0	0	1	6	6
Cluster-544.0	0	2	5	4
Cluster-545.0	0	1	5	5
Cluster-546.0	0	1	6	4
Cluster-547.0	1	2	8	2
Cluster-548.0	0	3	23	14
Cluster-549.0	0	5	10	5
Cluster-550.0	0	3	4	8
Cluster-551.0	0	4	7	4
Cluster-552.0	0	3	13	2
Cluster-553.0	0	1	11	10
Cluster-554.0	0	1	8	3
Cluster-555.0	0	3	9	2
Cluster-556.0	0	5	3	8
Cluster-557.0	0	2	5	4
Cluster-558.0	0	1	8	7
Cluster-559.0	0	1	15	9
Cluster-560.0	0	3	6	2
Cluster-561.0	0	1	5	7
Cluster-562.0	0	2	5	4
Cluster-563.0	0	2	5	5
Cluster-564.0	0	4	4	5
Cluster-565.0	0	1	10	2
Cluster-566.0	0	2	8	5
Cluster-567.0	0	4	4	6
Cluster-568.0	0	3	5	3
Cluster-569.0	0	2	15	6
Cluster-570.0	0	1	9	8
Cluster-571.0	0	4	5	5
Cluster-572.0	0	4	5	5
Cluster-573.0	0	1	5	6
Cluster-574.0	0	2	5	5
Cluster-575.0	0	2	7	2
Cluster-576.0	0	3	6	3
Cluster-577.0	0	4	3	5
Cluster-578.0	0	2	6	4
Cluster-579.0	0	2	5	4
Cluster-580.0	0	1	10	2
Cluster-581.0	0	1	5	5
Cluster-582.0	0	2	8	1
Cluster-583.0	2	3	7	7
Cluster-584.0	0	2	4	5
Cluster-585.0	0	1	6	6
Cluster-586.0	0	8	2	1
Cluster-587.0	0	4	4	5
Cluster-588.0	6	13	19	12
Cluster-589.0	0	3	7	1
Cluster-590.0	0	1	7	6
Cluster-591.0	0	4	5	2
Cluster-592.0	0	1	10	16
Cluster-593.0	0	1	5	5
Cluster-594.0	0	1	9	7
Cluster-595.0	15	13	35	21
Cluster-596.0	0	5	3	11
Cluster-597.0	0	3	4	7
Cluster-598.0	0	1	8	4
Cluster-599.0	0	1	6	5
Cluster-600.0	0	2	8	2
Cluster-601.0	0	1	11	0
Cluster-602.0	0	3	5	4
Cluster-603.0	0	3	10	6
Cluster-604.0	0	2	7	5
Cluster-605.0	0	3	3	5
Cluster-606.0	1	4	1	0
Cluster-606.1	0	8	6	8
Cluster-606.2	2	7	4	4
Cluster-606.3	1320	1445	1189	1346
Cluster-607.0	0	5	3	3
Cluster-608.0	0	1	1	15
Cluster-609.0	0	2	8	4
Cluster-610.0	0	6	8	9
Cluster-611.0	0	3	9	1
Cluster-612.0	0	2	7	4
Cluster-613.0	0	2	14	7
Cluster-614.0	0	2	6	5
Cluster-615.0	0	2	4	8
Cluster-616.0	0	4	3	9
Cluster-617.0	0	5	3	3
Cluster-618.0	0	3	7	1
Cluster-619.0	0	5	9	3
Cluster-620.0	3	1	17	12
Cluster-621.0	0	2	13	5
Cluster-622.0	0	4	6	10
Cluster-623.0	0	3	8	5
Cluster-624.0	0	2	11	3
Cluster-625.0	0	5	6	3
Cluster-626.0	0	3	8	2
Cluster-627.0	0	2	4	7
Cluster-628.0	0	3	6	4
Cluster-629.0	0	1	8	4
Cluster-630.0	1	5	15	6
Cluster-631.0	0	1	7	4
Cluster-632.0	0	1	2	9
Cluster-633.0	0	1	7	7
Cluster-634.0	0	3	6	3
Cluster-635.0	0	4	5	4
Cluster-636.0	0	2	5	6
Cluster-637.0	0	2	5	5
Cluster-638.0	0	3	4	4
Cluster-639.0	0	1	4	6
Cluster-640.0	0	2	9	4
Cluster-641.0	0	1	10	4
Cluster-642.0	15	11	11	12
Cluster-642.1	1	4	4	6
Cluster-643.0	0	2	9	3
Cluster-644.0	0	2	7	2
Cluster-645.0	0	6	4	5
Cluster-646.0	0	6	5	8
Cluster-647.0	0	1	5	5
Cluster-648.0	0	1	7	5
Cluster-649.0	0	2	8	4
Cluster-650.0	0	3	14	16
Cluster-651.0	0	2	5	6
Cluster-652.0	0	2	10	6
Cluster-653.0	0	3	6	2
Cluster-654.0	0	2	5	5
Cluster-655.0	0	1	6	5
Cluster-656.0	0	4	2	7
Cluster-657.0	0	2	9	9
Cluster-657.1	7	5	13	12
Cluster-658.0	0	3	10	5
Cluster-659.0	0	1	16	1
Cluster-660.0	1	4	9	8
Cluster-661.0	0	1	5	8
Cluster-662.0	0	1	9	5
Cluster-663.0	1	3	14	8
Cluster-664.0	11	5	23	15
Cluster-665.0	0	3	14	5
Cluster-666.0	0	1	5	5
Cluster-667.0	0	1	5	6
Cluster-668.0	0	1	5	4
Cluster-668.1	2	5	11	4
Cluster-669.0	0	4	5	4
Cluster-670.0	0	3	8	2
Cluster-671.0	0	1	8	4
Cluster-672.0	0	4	6	3
Cluster-673.0	0	3	2	9
Cluster-674.0	0	5	4	2
Cluster-675.0	0	3	4	4
Cluster-676.0	0	1	7	5
Cluster-677.0	0	3	7	4
Cluster-678.0	0	5	3	4
Cluster-679.0	0	3	10	6
Cluster-680.0	0	6	9	4
Cluster-681.0	0	5	7	3
Cluster-682.0	0	3	8	2
Cluster-683.0	0	1	5	6
Cluster-684.0	0	2	188	34
Cluster-685.0	0	3	4	4
Cluster-686.0	0	1	4	6
Cluster-687.0	438	521	184	221
Cluster-688.0	0	2	1	12
Cluster-689.0	0	2	4	6
Cluster-690.0	0	2	8	3
Cluster-691.0	0	2	3	7
Cluster-692.0	1	5	7	2
Cluster-693.0	0	2	6	4
Cluster-694.0	0	3	3	6
Cluster-695.0	0	1	5	12
Cluster-696.0	0	2	4	6
Cluster-697.0	0	6	4	3
Cluster-698.0	15	13	101	87
Cluster-699.0	0	2	5	5
Cluster-700.0	0	2	4	5
Cluster-701.0	0	2	6	5
Cluster-702.0	0	2	10	5
Cluster-703.0	0	1	5	8
Cluster-704.0	0	6	2	3
Cluster-705.0	0	4	7	1
Cluster-706.0	0	1	7	3
Cluster-707.0	0	4	5	2
Cluster-708.0	0	1	9	2
Cluster-709.0	0	2	55	24
Cluster-710.0	0	1	7	5
Cluster-711.0	0	3	7	2
Cluster-712.0	0	2	8	1
Cluster-713.0	0	1	3	7
Cluster-714.0	0	2	4	6
Cluster-715.0	0	5	5	3
Cluster-716.0	2	9	10	10
Cluster-717.0	0	2	8	3
Cluster-718.0	0	3	5	3
Cluster-719.0	0	2	3	6
Cluster-720.0	0	1	9	5
Cluster-721.0	0	3	5	8
Cluster-722.0	0	4	5	2
